domain,edge,field,manual_value,inferred_value,match,ii_with_manual,ii_with_inferred,ii_delta_pct,method,git_hash,timestamp
robotics_vio,fast_detect->orb_descriptor,backpressure,N/A,BLOCK,0,1000,1024,2.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,orb_descriptor->feature_match,rate,4000,1024,0,4000,1024,74.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,orb_descriptor->feature_match,tile_shape,"[500, 8]",[1024],0,4000,1024,74.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,orb_descriptor->feature_match,visibility,LOCAL_SPM,LOCAL_SPM,1,4000,1024,74.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,orb_descriptor->feature_match,double_buffering,True,False,0,4000,1024,74.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,orb_descriptor->feature_match,backpressure,N/A,BLOCK,0,4000,1024,74.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,feature_match->pose_estimate,rate,400,1024,0,400,1024,156.0,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,feature_match->pose_estimate,tile_shape,"[100, 4]",[1024],0,400,1024,156.0,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,feature_match->pose_estimate,visibility,LOCAL_SPM,LOCAL_SPM,1,400,1024,156.0,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,feature_match->pose_estimate,double_buffering,False,False,1,400,1024,156.0,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,feature_match->pose_estimate,backpressure,N/A,BLOCK,0,400,1024,156.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->pagerank_spmv,rate,1024,1024,1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->pagerank_spmv,tile_shape,[1024],[1024],1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->pagerank_spmv,visibility,GLOBAL_MEM,LOCAL_SPM,0,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->pagerank_spmv,double_buffering,False,False,1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->pagerank_spmv,backpressure,N/A,BLOCK,0,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,pagerank_spmv->label_prop,rate,1024,1024,1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,pagerank_spmv->label_prop,tile_shape,[1024],[1024],1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,pagerank_spmv->label_prop,visibility,GLOBAL_MEM,LOCAL_SPM,0,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,pagerank_spmv->label_prop,double_buffering,False,False,1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
