core_type,tier,bo_iteration,pe_type,array_rows,array_cols,pe_count,fu_alu,fu_mul,fu_fp,fu_mem,spm_kb,area_um2,all_kernels_mapped,avg_ii,assigned_kernels,git_hash,timestamp
gp,tier2,36,spatial_pe,6,6,36,2,1,0,3,12,493144.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,37,spatial_pe,6,6,36,2,1,0,2,12,489644.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,38,spatial_pe,7,7,49,3,1,0,2,4,649548.0,1,4.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,39,spatial_pe,6,6,36,4,1,0,3,8,495096.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,40,spatial_pe,6,6,36,2,0,0,3,8,486596.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,41,spatial_pe,6,6,36,1,0,1,3,4,490548.0,1,12.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,42,spatial_pe,6,6,36,1,0,1,2,4,487048.0,1,12.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,43,spatial_pe,6,7,42,3,1,0,2,12,566644.0,1,4.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,44,spatial_pe,6,6,36,1,0,1,3,12,494644.0,1,12.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,45,spatial_pe,6,6,36,3,0,1,2,8,493096.0,1,4.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,46,spatial_pe,7,6,42,2,0,1,2,12,568144.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,47,spatial_pe,6,6,36,1,0,0,3,4,482548.0,1,12.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,48,spatial_pe,6,6,36,1,0,0,3,4,482548.0,1,12.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,49,spatial_pe,7,6,42,2,0,0,2,8,558096.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,50,spatial_pe,6,6,36,2,0,0,3,4,484548.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
dsp,tier1,0,spatial_pe,6,6,36,2,3,2,2,16,516692.0,1,6.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,1,spatial_pe,6,6,36,3,4,1,1,20,513740.0,1,6.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,2,spatial_pe,6,6,36,4,3,2,1,20,519240.0,1,6.6,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,3,spatial_pe,6,7,42,3,4,1,1,20,588740.0,1,6.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,4,spatial_pe,6,6,36,4,3,0,1,16,501192.0,1,6.6,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,5,spatial_pe,6,6,36,3,3,1,1,20,509240.0,1,6.6,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,6,spatial_pe,6,6,36,3,4,0,1,16,503692.0,1,6.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,7,spatial_pe,6,6,36,4,2,0,2,12,498144.0,1,7.0,5,4d4c308,2026-03-24T07:06:15Z
